k;r;n;tipo;tiempo
5;0;100000;arbolkd;1.1244487762451172
5;0;100000;buscar_pos_kd;7.22554265236368e-06
5;0;100000;buscar_neg_kd;9.541870445333502e-06
5;1;100000;arbolkdr;3.715646505355835
5;1;100000;buscar_pos;3.4590562184651695e-05
5;1;100000;buscar_neg;3.304332494735718e-05
5;2;100000;arbolkdr;4.080089092254639
5;2;100000;buscar_pos;2.3276535506101e-05
5;2;100000;buscar_neg;2.104228304833481e-05
5;3;100000;arbolkdr;5.1279377937316895
5;3;100000;buscar_pos;1.947325889510338e-05
5;3;100000;buscar_neg;1.903333162006579e-05
5;4;100000;arbolkdr;7.8517820835113525
5;4;100000;buscar_pos;1.7971408610441247e-05
5;4;100000;buscar_neg;1.6377896678691007e-05
5;5;100000;arbolkdr;12.571762800216675
5;5;100000;buscar_pos;1.8149614334106445e-05
5;5;100000;buscar_neg;1.743467230545847e-05
5;0;500000;arbolkd;6.746843576431274
5;0;500000;buscar_pos_kd;9.073005927788033e-06
5;0;500000;buscar_neg_kd;8.113605459940803e-06
5;1;500000;arbolkdr;21.007690906524658
5;1;500000;buscar_pos;4.035482803980509e-05
5;1;500000;buscar_neg;3.776107866739489e-05
5;2;500000;arbolkdr;22.29697847366333
5;2;500000;buscar_pos;2.683425436214525e-05
5;2;500000;buscar_neg;2.5473142925061677e-05
5;3;500000;arbolkdr;29.934996366500854
5;3;500000;buscar_pos;2.3304788689864308e-05
5;3;500000;buscar_neg;2.1385890181346607e-05
5;4;500000;arbolkdr;44.28662919998169
5;4;500000;buscar_pos;2.0583470662434895e-05
5;4;500000;buscar_neg;1.889963944753011e-05
5;5;500000;arbolkdr;75.64488124847412
5;5;500000;buscar_pos;1.975148916244507e-05
5;5;500000;buscar_neg;1.795556810167101e-05
5;0;1000000;arbolkd;13.72835111618042
5;0;1000000;buscar_pos_kd;9.44797028886511e-06
5;0;1000000;buscar_neg_kd;9.106130016093351e-06
5;1;1000000;arbolkdr;48.140146255493164
5;1;1000000;buscar_pos;5.2469292866814996e-05
5;1;1000000;buscar_neg;4.3417016665140786e-05
5;2;1000000;arbolkdr;51.298861265182495
5;2;1000000;buscar_pos;3.1273774426392836e-05
5;2;1000000;buscar_neg;2.8825820760524018e-05
5;3;1000000;arbolkdr;73.90346384048462
5;3;1000000;buscar_pos;2.583990926327913e-05
5;3;1000000;buscar_neg;2.5704503059387207e-05
5;4;1000000;arbolkdr;105.39509725570679
5;4;1000000;buscar_pos;2.3743540970320554e-05
5;4;1000000;buscar_neg;2.2450673211481153e-05
5;5;1000000;arbolkdr;174.78325414657593
5;5;1000000;buscar_pos;2.067359452395095e-05
5;5;1000000;buscar_neg;1.8330030543829804e-05
10;0;100000;arbolkd;1.0664944648742676
10;0;100000;buscar_pos_kd;7.439141321663904e-06
10;0;100000;buscar_neg_kd;7.154990215690769e-06
10;1;100000;arbolkdr;4.593921422958374
10;1;100000;buscar_pos;3.420679192793997e-05
10;1;100000;buscar_neg;3.3480425675710045e-05
10;2;100000;arbolkdr;4.380025386810303
10;2;100000;buscar_pos;2.444763572848573e-05
10;2;100000;buscar_neg;2.335027321097777e-05
10;3;100000;arbolkdr;6.100541114807129
10;3;100000;buscar_pos;2.1822750568389893e-05
10;3;100000;buscar_neg;2.0757474397358143e-05
10;4;100000;arbolkdr;9.200219869613647
10;4;100000;buscar_pos;2.0338564502949618e-05
10;4;100000;buscar_neg;1.8365455396247633e-05
10;5;100000;arbolkdr;14.967332363128662
10;5;100000;buscar_pos;2.1364271026296713e-05
10;5;100000;buscar_neg;1.8144391246677676e-05
10;0;500000;arbolkd;7.550565958023071
10;0;500000;buscar_pos_kd;8.794726157674983e-06
10;0;500000;buscar_neg_kd;8.325187527403539e-06
10;1;500000;arbolkdr;24.43467617034912
10;1;500000;buscar_pos;4.344327109200614e-05
10;1;500000;buscar_neg;4.498248404644905e-05
10;2;500000;arbolkdr;26.233593463897705
10;2;500000;buscar_pos;2.799371276238952e-05
10;2;500000;buscar_neg;2.6236409726350203e-05
10;3;500000;arbolkdr;35.28122282028198
10;3;500000;buscar_pos;2.677389915953291e-05
10;3;500000;buscar_neg;2.4935633865828367e-05
10;4;500000;arbolkdr;51.50264644622803
10;4;500000;buscar_pos;2.1596749623616535e-05
10;4;500000;buscar_neg;1.9499596129072474e-05
10;5;500000;arbolkdr;80.57993531227112
10;5;500000;buscar_pos;2.125331333705357e-05
10;5;500000;buscar_neg;1.8877287705739338e-05
10;0;1000000;arbolkd;15.554626703262329
10;0;1000000;buscar_pos_kd;9.357314748862355e-06
10;0;1000000;buscar_neg_kd;9.207015341900764e-06
10;1;1000000;arbolkdr;52.45664620399475
10;1;1000000;buscar_pos;4.298759229255445e-05
10;1;1000000;buscar_neg;4.676199450935285e-05
10;2;1000000;arbolkdr;56.14906430244446
10;2;1000000;buscar_pos;2.8802424061055086e-05
10;2;1000000;buscar_neg;2.8342008590698242e-05
10;3;1000000;arbolkdr;75.3702642917633
10;3;1000000;buscar_pos;2.379024151674251e-05
10;3;1000000;buscar_neg;2.2556363921804525e-05
10;4;1000000;arbolkdr;119.01298666000366
10;4;1000000;buscar_pos;2.2197763125101726e-05
10;4;1000000;buscar_neg;2.0225424515573604e-05
10;5;1000000;arbolkdr;181.4440050125122
10;5;1000000;buscar_pos;2.1640135317432636e-05
10;5;1000000;buscar_neg;1.9832984688355752e-05
15;0;100000;arbolkd;1.09653902053833
15;0;100000;buscar_pos_kd;7.454229860889668e-06
15;0;100000;buscar_neg_kd;7.683468848159633e-06
15;1;100000;arbolkdr;4.405230760574341
15;1;100000;buscar_pos;3.450363874435425e-05
